loss,hidden_dim,layer_dim,dropout,residxSD, residxQE, residxSV, residxPR, residxHD, residexTL, resvalSD,resvalQE,resvalSV,resvalPR,resvalHD,resvalTL
BCELoss(),8,4,0.1,22,0,3,6,15,12,0.025,0.01,0.045,0.164,0.062,0.185
BCELoss(),8,4,0.1,26,0,3,4,12,27,0.026,0.008,0.05,0.16,0.07,0.185
BCELoss(),8,4,0.1,26,0,5,5,12,13,0.026,0.007,0.052,0.164,0.066,0.186
BCELoss(),8,4,0.1,29,0,4,4,19,29,-0.03,0.001,0.049,0.169,0.075,0.186
BCELoss(),8,4,0.1,24,0,5,6,22,26,0.025,0.003,0.045,0.164,0.06,0.185
MSELoss(),8,4,0.2,15,0,9,9,28,29,0.025,0.017,0.049,0.17,0.062,0.057
MSELoss(),8,4,0.2,0,0,2,13,19,21,0.032,-0.003,0.041,0.163,0.067,0.057
MSELoss(),8,4,0.2,0,0,4,3,18,26,0.034,-0.004,0.048,0.155,0.067,0.057
MSELoss(),8,4,0.2,23,0,21,22,10,25,0.026,-0.001,0.048,0.168,0.076,0.058
MSELoss(),8,4,0.2,29,0,6,6,16,29,0.027,0.003,0.044,0.171,0.061,0.057
BCELoss(),8,4,0.2,16,0,2,8,28,29,0.028,0.005,0.048,0.173,0.066,0.185
BCELoss(),8,4,0.2,29,0,4,5,11,29,-0.029,-0.004,0.049,0.16,0.081,0.186
BCELoss(),8,4,0.2,0,0,2,3,0,29,-0.046,0.009,0.046,0.163,0.09,0.187
BCELoss(),8,4,0.2,26,0,4,5,11,22,0.026,0.008,0.048,0.161,0.071,0.186
BCELoss(),8,4,0.2,29,0,5,6,25,27,0.025,-0.002,0.052,0.168,0.067,0.185
MSELoss(),8,8,0.1,9,0,4,4,10,15,0.027,0.002,0.05,0.172,0.065,0.057
MSELoss(),8,8,0.1,9,0,17,13,24,29,0.03,0.007,0.057,0.181,0.069,0.058
MSELoss(),8,8,0.1,8,0,3,5,29,29,0.027,0.01,0.051,0.172,0.069,0.057
MSELoss(),8,8,0.1,26,0,5,6,28,22,0.025,0.008,0.051,0.18,0.055,0.057
MSELoss(),8,8,0.1,28,0,5,10,20,29,-0.004,0.004,0.054,0.177,0.074,0.058
BCELoss(),8,8,0.1,25,0,3,4,14,29,0.026,0.008,0.056,0.177,0.061,0.185
BCELoss(),8,8,0.1,21,0,5,5,12,26,0.027,0.004,0.051,0.174,0.067,0.185
BCELoss(),8,8,0.1,28,0,29,4,10,25,0.026,0.003,0.057,0.177,0.078,0.186
BCELoss(),8,8,0.1,29,0,5,5,23,23,0.02,0.004,0.051,0.181,0.063,0.186
BCELoss(),8,8,0.1,22,0,7,5,11,28,0.025,0.0,0.054,0.177,0.058,0.185
MSELoss(),8,8,0.2,13,0,8,6,20,24,0.025,0.008,0.056,0.177,0.067,0.057
MSELoss(),8,8,0.2,29,0,7,10,29,29,0.024,0.016,0.053,0.183,0.062,0.058
MSELoss(),8,8,0.2,23,0,7,4,15,29,0.034,0.008,0.054,0.172,0.072,0.057
MSELoss(),8,8,0.2,25,0,4,12,8,16,0.026,0.0,0.053,0.176,0.074,0.057
MSELoss(),8,8,0.2,29,0,3,4,17,29,0.022,-0.005,0.053,0.171,0.066,0.058
BCELoss(),8,8,0.2,14,0,4,4,17,11,0.026,-0.001,0.056,0.167,0.062,0.185
BCELoss(),8,8,0.2,29,0,9,7,15,29,0.021,0.008,0.054,0.178,0.073,0.186
BCELoss(),8,8,0.2,0,0,5,7,22,29,0.016,0.0,0.054,0.177,0.074,0.186
BCELoss(),8,8,0.2,0,0,11,10,23,29,-0.044,0.011,0.057,0.181,0.073,0.186
BCELoss(),8,8,0.2,0,0,5,7,16,29,-0.048,0.004,0.051,0.176,0.078,0.186
MSELoss(),8,16,0.1,25,0,9,9,15,29,0.023,-0.0,0.054,0.176,0.07,0.058
MSELoss(),8,16,0.1,28,0,5,4,12,29,-0.049,0.0,0.056,0.168,0.088,0.058
MSELoss(),8,16,0.1,13,0,4,3,9,29,0.031,0.004,0.053,0.174,0.088,0.057
MSELoss(),8,16,0.1,26,0,3,6,25,28,0.027,0.0,0.054,0.172,0.066,0.057
MSELoss(),8,16,0.1,29,0,6,6,13,26,0.025,0.011,0.051,0.176,0.079,0.057
BCELoss(),8,16,0.1,28,0,6,8,26,28,0.028,0.004,0.048,0.176,0.06,0.185
BCELoss(),8,16,0.1,27,0,5,5,25,29,0.027,-0.004,0.053,0.176,0.068,0.184
BCELoss(),8,16,0.1,24,0,9,4,9,22,0.028,0.004,0.057,0.176,0.067,0.185
BCELoss(),8,16,0.1,28,0,4,3,6,22,0.029,-0.0,0.053,0.165,0.078,0.185
BCELoss(),8,16,0.1,29,0,2,2,8,23,0.028,0.011,0.051,0.167,0.065,0.185
MSELoss(),8,16,0.2,28,0,8,5,29,29,0.033,0.006,0.051,0.172,0.074,0.058
MSELoss(),8,16,0.2,28,0,4,5,14,28,0.028,-0.004,0.051,0.172,0.074,0.057
MSELoss(),8,16,0.2,0,0,8,6,16,29,0.028,-0.0,0.054,0.177,0.072,0.058
MSELoss(),8,16,0.2,19,0,3,3,6,13,0.027,0.004,0.051,0.176,0.065,0.057
MSELoss(),8,16,0.2,24,0,5,7,11,28,0.028,0.007,0.054,0.176,0.067,0.058
BCELoss(),8,16,0.2,28,0,4,2,9,28,0.034,0.0,0.057,0.172,0.076,0.185
BCELoss(),8,16,0.2,25,0,5,9,19,29,0.022,0.008,0.054,0.177,0.072,0.185
BCELoss(),8,16,0.2,29,0,3,6,16,29,0.022,-0.001,0.054,0.176,0.079,0.186
BCELoss(),8,16,0.2,0,0,13,11,29,29,-0.035,0.004,0.057,0.18,0.067,0.186
BCELoss(),8,16,0.2,29,0,3,3,13,28,0.016,0.004,0.051,0.176,0.077,0.186
MSELoss(),16,2,0.1,19,0,1,4,18,18,0.132,0.004,0.033,0.138,0.147,0.056
MSELoss(),16,2,0.1,22,0,1,3,21,22,0.149,0.015,0.039,0.143,0.142,0.055
MSELoss(),16,2,0.1,20,20,2,4,19,16,0.147,-0.002,0.031,0.15,0.159,0.055
MSELoss(),16,2,0.1,14,14,2,5,11,12,0.125,0.015,0.025,0.144,0.148,0.055
MSELoss(),16,2,0.1,17,0,2,4,16,17,0.143,0.009,0.038,0.144,0.153,0.055
BCELoss(),16,2,0.1,25,25,2,4,22,24,0.156,0.003,0.043,0.15,0.158,0.178
BCELoss(),16,2,0.1,19,19,1,5,18,19,0.121,0.007,0.047,0.14,0.125,0.181
BCELoss(),16,2,0.1,24,0,2,5,24,20,0.14,0.023,0.037,0.149,0.134,0.181
BCELoss(),16,2,0.1,26,0,2,1,24,25,0.126,0.011,0.039,0.146,0.148,0.182
BCELoss(),16,2,0.1,19,0,2,3,19,17,0.113,0.006,0.04,0.149,0.166,0.182
MSELoss(),16,2,0.2,26,0,2,6,25,25,0.139,0.015,0.027,0.147,0.138,0.055
MSELoss(),16,2,0.2,20,0,3,7,20,20,0.109,0.001,0.041,0.147,0.148,0.056
MSELoss(),16,2,0.2,22,0,2,6,26,27,0.019,0.001,0.04,0.142,0.099,0.057
MSELoss(),16,2,0.2,21,0,2,2,21,21,0.122,0.009,0.033,0.141,0.159,0.056
MSELoss(),16,2,0.2,25,0,2,7,26,26,0.113,0.008,0.038,0.151,0.141,0.056
BCELoss(),16,2,0.2,29,0,1,6,29,29,0.149,0.02,0.031,0.149,0.153,0.18
BCELoss(),16,2,0.2,26,0,1,4,26,26,0.132,0.008,0.036,0.143,0.14,0.182
BCELoss(),16,2,0.2,23,20,1,6,21,15,0.116,0.012,0.034,0.146,0.147,0.181
BCELoss(),16,2,0.2,26,0,2,6,27,21,0.068,0.003,0.039,0.146,0.141,0.185
BCELoss(),16,2,0.2,29,0,1,5,24,29,0.149,0.018,0.028,0.152,0.15,0.18
MSELoss(),16,4,0.1,18,0,1,1,4,15,0.026,-0.002,0.043,0.154,0.068,0.058
MSELoss(),16,4,0.1,14,0,1,5,16,15,0.026,-0.005,0.047,0.162,0.067,0.057
MSELoss(),16,4,0.1,13,0,1,1,9,18,0.027,-0.015,0.047,0.15,0.071,0.057
MSELoss(),16,4,0.1,14,0,1,2,8,9,0.025,-0.003,0.042,0.154,0.063,0.057
MSELoss(),16,4,0.1,20,0,1,1,10,13,0.027,-0.01,0.043,0.151,0.07,0.057
BCELoss(),16,4,0.1,15,0,1,2,8,10,0.027,-0.007,0.045,0.159,0.063,0.185
BCELoss(),16,4,0.1,16,0,1,2,10,9,0.025,-0.01,0.051,0.151,0.068,0.185
BCELoss(),16,4,0.1,21,17,1,2,11,16,0.031,-0.006,0.037,0.161,0.07,0.186
BCELoss(),16,4,0.1,15,12,1,2,12,10,0.027,-0.008,0.037,0.16,0.066,0.185
BCELoss(),16,4,0.1,23,19,2,3,17,14,0.026,-0.004,0.049,0.157,0.066,0.185
MSELoss(),16,4,0.2,18,17,1,1,10,13,0.026,-0.009,0.043,0.15,0.061,0.057
MSELoss(),16,4,0.2,16,0,1,2,19,18,0.115,-0.001,0.036,0.156,0.156,0.057
MSELoss(),16,4,0.2,13,0,1,3,19,20,0.029,-0.008,0.043,0.155,0.07,0.057
MSELoss(),16,4,0.2,22,22,1,2,22,18,0.088,0.01,0.041,0.156,0.134,0.057
MSELoss(),16,4,0.2,16,0,2,2,14,11,0.024,-0.007,0.042,0.162,0.066,0.057
BCELoss(),16,4,0.2,20,20,1,2,20,12,0.032,-0.002,0.045,0.158,0.066,0.185
